forme;amplMin;amplMax;snrpb_dB;nbBits;nbErreurs;TEB
NRZ;-1;1;0.0;1000000;78473;7.8473e-02
NRZ;-1;1;1.0;1000000;56283;5.6283e-02
NRZ;-1;1;2.0;1000000;37146;3.7146e-02
NRZ;-1;1;3.0;1000000;22713;2.2713e-02
NRZ;-1;1;4.0;1000000;12495;1.2495e-02
NRZ;-1;1;5.0;1000000;5974;5.9740e-03
NRZ;-1;1;6.0;1000000;2408;2.4080e-03
NRZ;-1;1;7.0;1000000;743;7.4300e-04
NRZ;-1;1;8.0;1000000;194;1.9400e-04
NRZ;-1;1;9.0;1000000;35;3.5000e-05
NRZ;-1;1;10.0;1000000;5;5.0000e-06
NRZ;-1;1;11.0;1000000;0;0.0000e+00
NRZ;-1;1;12.0;1000000;0;0.0000e+00
NRZ;-1;1;13.0;1000000;0;0.0000e+00
NRZ;-1;1;14.0;1000000;0;0.0000e+00
NRZT;-1;1;0.0;1000000;177537;1.7754e-01
NRZT;-1;1;1.0;1000000;149573;1.4957e-01
NRZT;-1;1;2.0;1000000;122436;1.2244e-01
NRZT;-1;1;3.0;1000000;95676;9.5676e-02
NRZT;-1;1;4.0;1000000;71362;7.1362e-02
NRZT;-1;1;5.0;1000000;50263;5.0263e-02
NRZT;-1;1;6.0;1000000;32234;3.2234e-02
NRZT;-1;1;7.0;1000000;19023;1.9023e-02
NRZT;-1;1;8.0;1000000;10099;1.0099e-02
NRZT;-1;1;9.0;1000000;4644;4.6440e-03
NRZT;-1;1;10.0;1000000;1750;1.7500e-03
NRZT;-1;1;11.0;1000000;492;4.9200e-04
NRZT;-1;1;12.0;1000000;123;1.2300e-04
NRZT;-1;1;13.0;1000000;18;1.8000e-05
NRZT;-1;1;14.0;1000000;4;4.0000e-06
RZ;0;1;0.0;1000000;158876;1.5888e-01
RZ;0;1;1.0;1000000;131102;1.3110e-01
RZ;0;1;2.0;1000000;104107;1.0411e-01
RZ;0;1;3.0;1000000;79343;7.9343e-02
RZ;0;1;4.0;1000000;56533;5.6533e-02
RZ;0;1;5.0;1000000;37957;3.7957e-02
RZ;0;1;6.0;1000000;22872;2.2872e-02
RZ;0;1;7.0;1000000;12783;1.2783e-02
RZ;0;1;8.0;1000000;6236;6.2360e-03
RZ;0;1;9.0;1000000;2571;2.5710e-03
RZ;0;1;10.0;1000000;732;7.3200e-04
RZ;0;1;11.0;1000000;206;2.0600e-04
RZ;0;1;12.0;1000000;32;3.2000e-05
RZ;0;1;13.0;1000000;5;5.0000e-06
RZ;0;1;14.0;1000000;0;0.0000e+00
